student_id,final_score,max_points,submitted_at,run_id
PY102001044,1,1,,22748326000
PY102001044,1,1,,22747910068
PY102001044,1,1,,22741538905
PY102001044,1,1,,22725833513
PY102001044,1,1,,22725442828
PY102001044,1,1,,22725405709
PY102001044,1,1,,22723229661
PY102001044,1,1,,22722699341
PY102001044,1,1,,22721753892
PY102001044,1,1,,22721727221
PY102001044,1,1,,22719252824
PY102001044,1,1,,22718574116
PY102001044,1,1,,22718267013
PY102001044,1,1,,22715363335
PY102001044,1,1,,22709449915
PY102001044,1,1,,22708061321
PY102001044,1,1,,22707799376
PY102001044,1,1,,22707373679
PY102001044,1,1,,22707368788
PY102001044,1,1,,22704062028
PY102001044,1,1,,22703713811
PY102001044,1,1,,22701675006
PY102001044,1,1,,22700991790
PY102001044,1,1,,22700810940
PY102001044,1,1,,22698640536
PY102001044,1,1,,22767174236
PY102001044,1,1,,22767172176
PY102001044,1,1,,22767170444
PY102001044,1,1,,22767168913
PY102001044,1,1,,22767167493
PY102001044,1,1,,22767165071
PY102001044,1,1,,22767163452
PY102001044,20,20,2026-03-06T08:14:06-06:00,22767162096
PY102001044,1,1,,22767160465
PY102001044,1,1,,22767157013
PY102001044,1,1,,22767155789
PY102001044,1,1,,22767154487
PY102001044,1,1,,22767151073
PY102001044,1,1,,22767149126
PY102001044,1,1,,22767147221
PY102001044,1,1,,22767145269
PY102001044,1,1,,22767141705
PY102001044,1,1,,22767699825
PY102001044,1,1,,22767698112
PY102001044,1,1,,22767695724
PY102001044,1,1,,22767695368
PY102001044,1,1,,22767693104
PY102001044,1,1,,22767691953
PY102001044,1,1,,22767690936
PY102001044,1,1,,22767688908
PY102001044,1,1,,22767687825
PY102001044,1,1,,22767685267
PY102001044,1,1,,22767684219
PY102001044,1,1,,22767682894
PY102001044,1,1,,22767680774
PY102001044,1,1,,22767679548
PY102001044,1,1,,22767678310
PY102001044,1,1,,22767678156
PY102001044,1,1,,22767675811
PY102001044,1,1,,22767673928
PY102001044,1,1,,22767673045
PY102001044,1,1,,22767669628
PY102001044,1,1,,22767667849
PY102001044,1,1,,22767666922
PY102001044,1,1,,22767664791
PY102001044,1,1,,22767663463
PY102001044,1,1,,22767662387
PY102001044,1,1,,22767658643
PY102001044,1,1,,22767656153
PY102001044,1,1,,22767654892
PY102001044,1,1,,22767653079
PY102001044,1,1,,22767652098
PY102001044,1,1,,22767945784
PY102001044,1,1,,22767844188
PY102001044,1,1,,22767842427
PY102001044,1,1,,22767841383
PY102001044,1,1,,22767838875
PY102001044,1,1,,22767837911
PY102001044,1,1,,22767835755
PY102001044,1,1,,22767834957
